ts,mid,ret_1,vol,mom,volume,inventory
1755869400,637.6400146484375,0.0,0.0,0.0,1270220,0.0
1755869460,637.5750122070312,-0.00010194742077729302,0.0,0.0,271588,0.0
1755869520,637.864990234375,0.0004547105811090191,0.0,0.0,221774,0.0
1755869580,637.8600158691406,-7.798491384214401e-06,0.0,0.0,223918,0.0
1755869640,637.875,2.349097684639645e-05,0.0,0.0003684556457939081,103289,0.0
1755869700,637.7475280761719,-0.00019985837729663558,0.0,0.00016859726849727252,124599,0.0
1755869760,637.7799987792969,5.0913371053340484e-05,0.0,0.000321458060327906,164069,0.0
1755869820,638.1025695800781,0.0005056434121026854,0.0,0.0003723908913215723,298207,0.0
1755869880,638.2599487304688,0.0002466057235785968,0.0,0.0006267951062843835,136113,0.0
1755869940,638.3424987792969,0.0001293277309697416,0.0,0.0007326318604077287,162764,0.0
1755870000,638.6500549316406,0.00048168825635919177,0.0,0.001414178494063556,247402,0.0
1755870060,639.0399780273438,0.0006103563426957948,0.0,0.0019736214657060103,212528,0.0
1755870120,639.1300048828125,0.00014086836151960824,0.0,0.0016088464151229331,152800,0.0
1755870180,639.18505859375,8.613480752028835e-05,0.0,0.0014483754990646247,186216,0.0
1755870240,639.2200012207031,5.466597099790249e-05,0.0,0.0013737137390927856,311011,0.0
1755870300,639.5499877929688,0.0005160999748587969,0.0,0.0014081254575923907,349791,0.0
1755870360,639.2899780273438,-0.00040663378711425224,0.0,0.0003911353277823437,429298,0.0
1755870420,639.2449951171875,-7.036633509471812e-05,0.0,0.00017990063116801736,178542,0.0
1755870480,639.364990234375,0.00018769619964587037,0.0,0.00028146202329359937,122575,0.0
1755870540,639.4349975585938,0.00010948909126895501,0.0,0.0003362851435646519,229785,0.0
1755870600,639.5700073242188,0.00021111686914565553,0.0,3.1302037851510534e-05,179285,0.0
1755870660,639.3349914550781,-0.0003675267076292954,0.0,7.040911733646738e-05,247286,0.0
1755870720,639.2900085449219,-7.036138066229825e-05,0.0,7.041407176888725e-05,208487,0.0
1755870780,639.425048828125,0.00021121247134203713,0.0,9.393034346505402e-05,199125,0.0
1755870840,639.2403564453125,-0.0002888830546838861,0.0,-0.00030444180248778707,110277,0.0
1755870900,639.155029296875,-0.000133491014620013,0.0,-0.0006490496862534556,135395,0.0
1755870960,639.0675048828125,-0.00013694706807143575,0.0,-0.00041847004669559595,186593,0.0
1755871020,638.6400146484375,-0.0006691519675534607,0.0,-0.0010172606335867584,311205,0.0
1755871080,638.3399963378906,-0.0004698872550648048,0.0,-0.0016983603599936004,304103,0.0
1755871140,638.2850036621094,-8.615321776517249e-05,0.0,-0.0014956305230748868,188110,0.0
1755871200,640.5950012207031,0.0036125360658951777,0.0,0.002250396557440304,1658486,0.0
1755871260,643.3949890136719,0.004361392616221593,0.0,0.006748736241733333,1482340,0.0
1755871320,643.6999816894531,0.0004739241290376839,0.0,0.007891812338324478,1181606,0.0
1755871380,643.7900085449219,0.00013984862996707648,0.0,0.008501548223356359,664071,0.0
1755871440,643.4450073242188,-0.0005360345620042395,0.0,0.008051666879117292,1133707,0.0
1755871500,643.2575073242188,-0.00029144265934455404,0.0,0.00414768815387756,659840,0.0
1755871560,643.3999938964844,0.00022148329716831228,0.0,7.778834824279102e-06,1023636,0.0
1755871620,642.9249877929688,-0.0007385476172325767,0.0,-0.0012046929114459815,533059,0.0
1755871680,643.4900207519531,0.0008784614476153862,0.0,-0.0004660800937976717,961192,0.0
1755871740,644.1000061035156,0.0009474838799201635,0.0,0.0010174383481267313,576485,0.0
1755871800,644.3047485351562,0.000317823157089947,0.0,0.0016267041645612323,402862,0.0
1755871860,644.1100158691406,-0.0003022825768201898,0.0,0.0011029382905727303,596092,0.0
1755871920,644.02001953125,-0.0001397317593161418,0.0,0.0017017541484891652,361942,0.0
1755871980,644.2049865722656,0.00028716573798881484,0.0,0.0011104584388625938,351496,0.0
1755872040,644.64501953125,0.0006828303898798183,0.0,0.0008458049488222485,467952,0.0
1755872100,645.0225219726562,0.0005854259955206942,0.0,0.0011134077872529957,754267,0.0
1755872160,645.3050537109375,0.00043792250606866645,0.0,0.001853612870141852,668822,0.0
