ts,open,high,low,close,volume
1755869400,637.760009765625,638.02001953125,637.260009765625,637.3300170898438,1270220
1755869460,637.3200073242188,637.9000244140625,637.25,637.75,271588
1755869520,637.7482299804688,638.0,637.72998046875,637.9500122070312,221774
1755869580,637.969970703125,638.0900268554688,637.6300048828125,637.6500244140625,223918
1755869640,637.6500244140625,638.0999755859375,637.6500244140625,637.6699829101562,103289
1755869700,637.6900024414062,637.905029296875,637.5900268554688,637.7100219726562,124599
1755869760,637.7000122070312,637.9500122070312,637.6099853515625,637.8800048828125,164069
1755869820,637.9000244140625,638.3900146484375,637.8151245117188,638.3699951171875,298207
1755869880,638.351318359375,638.419921875,638.0999755859375,638.169921875,136113
1755869940,638.1599731445312,638.5449829101562,638.1400146484375,638.530029296875,162764
1755870000,638.530029296875,638.9600219726562,638.340087890625,638.9500122070312,247402
1755870060,638.9400024414062,639.1599731445312,638.9199829101562,639.1099853515625,212528
1755870120,639.0700073242188,639.239990234375,639.02001953125,639.0999755859375,152800
1755870180,639.094970703125,639.3001098632812,639.0700073242188,639.260009765625,186216
1755870240,639.260009765625,639.4299926757812,639.010009765625,639.4099731445312,311011
1755870300,639.4000244140625,639.719970703125,639.3800048828125,639.6599731445312,349791
1755870360,639.6400146484375,639.6699829101562,638.9099731445312,639.0700073242188,429298
1755870420,639.0800170898438,639.4199829101562,639.0700073242188,639.3099975585938,178542
1755870480,639.3099975585938,639.4299926757812,639.2999877929688,639.3599853515625,122575
1755870540,639.3599853515625,639.5700073242188,639.2999877929688,639.5650024414062,229785
1755870600,639.5700073242188,639.7000122070312,639.4400024414062,639.4849853515625,179285
1755870660,639.47998046875,639.510009765625,639.1599731445312,639.3054809570312,247286
1755870720,639.2999877929688,639.4299926757812,639.1500244140625,639.3699951171875,208487
1755870780,639.3900146484375,639.5800170898438,639.2700805664062,639.3300170898438,199125
1755870840,639.3400268554688,639.3800048828125,639.1007080078125,639.2000122070312,110277
1755870900,639.219970703125,639.280029296875,639.030029296875,639.0800170898438,135395
1755870960,639.0700073242188,639.2000122070312,638.9349975585938,638.97998046875,186593
1755871020,638.97998046875,639.0,638.280029296875,638.3400268554688,311205
1755871080,638.3499755859375,638.5599975585938,638.1199951171875,638.1799926757812,304103
1755871140,638.1900024414062,638.4400024414062,638.1300048828125,638.4099731445312,188110
1755871200,638.4099731445312,642.780029296875,638.4099731445312,642.7349853515625,1658486
1755871260,642.6799926757812,644.1099853515625,642.6799926757812,643.3200073242188,1482340
