ts,open,high,low,close,volume
1755869400,171.44349670410156,171.44349670410156,171.44349670410156,171.44349670410156,8034132
1755869460,171.44000244140625,171.75,171.1999969482422,171.510498046875,1149402
1755869520,171.51519775390625,171.8699951171875,171.51190185546875,171.75999450683594,251900
1755869580,171.95530700683594,172.25999450683594,171.91000366210938,172.0800018310547,1896075
1755869640,172.06500244140625,172.7899932861328,172.06260681152344,172.47999572753906,1109108
1755869700,172.4600067138672,172.82989501953125,172.4530029296875,172.7899932861328,707695
1755869760,172.7949981689453,173.09500122070312,172.74000549316406,173.05999755859375,756235
1755869820,173.05999755859375,173.4199981689453,172.9499969482422,173.389892578125,993548
1755869880,173.38580322265625,173.5500030517578,172.9499969482422,173.00010681152344,910878
1755869940,173.0,173.47999572753906,172.99000549316406,173.43499755859375,726048
1755870000,173.4250030517578,173.8300018310547,173.24000549316406,173.82000732421875,940299
1755870060,173.82000732421875,174.05250549316406,173.7899932861328,174.00999450683594,769261
1755870120,174.00999450683594,174.30999755859375,173.94009399414062,174.22000122070312,899303
1755870180,174.22000122070312,174.32000732421875,173.99009704589844,174.0449981689453,740858
1755870240,174.0399932861328,174.2100067138672,173.88999938964844,174.1999969482422,676877
1755870300,174.19000244140625,174.4272003173828,174.14999389648438,174.41000366210938,718834
1755870360,174.40499877929688,174.53500366210938,174.0,174.2550048828125,973029
1755870420,174.25010681152344,174.50990295410156,174.22999572753906,174.3699951171875,591158
1755870480,174.375,174.44000244140625,174.22999572753906,174.3699951171875,474987
1755870540,174.36000061035156,174.90499877929688,174.26840209960938,174.85899353027344,997681
1755870600,174.85000610351562,175.0500030517578,174.6811981201172,174.7899932861328,984524
1755870660,174.77999877929688,174.79989624023438,174.60000610351562,174.76499938964844,575138
1755870720,174.75210571289062,174.8800048828125,174.3699951171875,174.4958038330078,660662
1755870780,174.5,174.67999267578125,174.30999755859375,174.30999755859375,602404
1755870840,174.3000030517578,174.32000732421875,174.04010009765625,174.1300048828125,698917
1755870900,174.15159606933594,174.27999877929688,174.07000732421875,174.14500427246094,405691
